Model,MAE,RMSE,MAPE,R2
Seasonal-Naive,99.25103721871106,151.68497810067632,66.83683349517834,0.3405652245445564
ARIMA (MA Proxy),87.08110413448804,130.0092650425101,59.89300640934584,0.515565230896748
Standalone TFT,62.19722330919077,145.89368641748933,57.28954487572137,0.38995805670723327
Standalone ML Ensemble,48.27457665605115,84.80282878659901,42.00620772219452,0.7938860537558261
Standalone DL Branch,62.19722330919077,145.89368641748933,57.28954487572137,0.38995805670723327
Full SUREcast (Best Fixed Weight),51.233996823117565,100.37684379618716,46.11422144155916,0.7112288707134085
Full SUREcast (Stacking),48.72794801349285,71.64842540774956,37.818054085491106,0.8528704181649338
